gid,provincia,departamen,cabecera,votos_fdt_2019,Porcentaje_s_validos_fdt_2019,votos_fdt_2021,Porcentaje_s_validos_fdt_2021,Diferencia_porcentaje_s_validos,Diferencia_votos,Diferencia_proporción_votos,Vista_circuitos
23347,Buenos Aires,25 de Mayo,25 de Mayo,8950,39.7,5745,27.3,-12.3,-3205,-35.8,Confiable ver circuitos
23348,Buenos Aires,Gonzales Chaves,Adolfo Gonzales Chaves,3647,46.6,2190,33.4,-13.2,-1457,-40.0,Confiable ver circuitos
23349,Buenos Aires,Adolfo Alsina,Carhué,3605,33.2,1973,21.2,-12.0,-1632,-45.3,No confiable ver circuitos
23350,Buenos Aires,Alberti,Alberti,3053,40.9,2307,33.1,-7.8,-746,-24.4,Confiable ver circuitos
23351,Buenos Aires,Almirante Brown,Almirante Brown,185079,56.8,122333,41.4,-15.4,-62746,-33.9,No confiable ver circuitos
23352,Buenos Aires,Arrecifes,Arrecifes,7516,40.1,4672,26.8,-13.2,-2844,-37.8,No confiable ver circuitos
23353,Buenos Aires,Avellaneda,Avellaneda,112846,52.3,75466,39.1,-13.2,-37380,-33.1,Confiable ver circuitos
23369,Buenos Aires,Carlos Tejedor,Carlos Tejedor,3628,46.4,2998,40.0,-6.4,-630,-17.4,No confiable ver circuitos
23354,Buenos Aires,Ayacucho,Ayacucho,5072,39.8,2958,26.6,-13.2,-2114,-41.7,No confiable ver circuitos
23355,Buenos Aires,Azul,Azul,15430,37.5,7219,20.1,-17.4,-8211,-53.2,No confiable ver circuitos
23356,Buenos Aires,Bahía Blanca,Bahía Blanca,60462,33.6,32807,20.3,-13.3,-27655,-45.7,Confiable ver circuitos
23370,Buenos Aires,Carmen de Areco,Carmen de Areco,3949,39.8,2343,25.2,-14.6,-1606,-40.7,Confiable ver circuitos
23371,Buenos Aires,Castelli,Castelli,2831,48.8,2171,40.0,-8.8,-660,-23.3,Confiable ver circuitos
23372,Buenos Aires,Chacabuco,Chacabuco,14676,46.0,9746,36.0,-10.0,-4930,-33.6,No confiable ver circuitos
23373,Buenos Aires,Chascomús,Chascomús,9008,36.3,4952,21.7,-14.6,-4056,-45.0,No confiable ver circuitos
23374,Buenos Aires,Chivilcoy,Chivilcoy,19463,43.0,7751,19.5,-23.5,-11712,-60.2,No confiable ver circuitos
23357,Buenos Aires,Balcarce,Balcarce,9249,32.4,5202,19.4,-13.0,-4047,-43.8,No confiable ver circuitos
23358,Buenos Aires,Baradero,Baradero,11594,53.4,6119,31.5,-21.8,-5475,-47.2,Confiable ver circuitos
23359,Buenos Aires,Benito Juárez,Benito Juárez,6521,50.3,3873,35.8,-14.4,-2648,-40.6,No confiable ver circuitos
23360,Buenos Aires,Berazategui,Berazategui,110071,55.4,68975,38.3,-17.2,-41096,-37.3,No confiable ver circuitos
23380,Buenos Aires,Daireaux,Daireaux,5084,46.3,3583,36.3,-9.9,-1501,-29.5,No confiable ver circuitos
23361,Buenos Aires,Berisso,Berisso,30845,53.9,19271,36.6,-17.3,-11574,-37.5,No confiable ver circuitos
